country,topic_l2,year,resolution_count,recorded_vote_count,yes_count,yes_pct,abstain_count,abstain_pct,no_count,no_pct,not_recorded_count,not_recorded_pct,country_missing_count,unknown_vote_count
USA,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,2024,5,5,2,40.00,1,20.00,2,40.00,0,0.00,0,0
USA,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,2025,8,8,2,25.00,0,0.00,6,75.00,0,0.00,0,0
USA,PSYCHOLOGY,2024,0,0,0,,0,,0,,0,,0,0
USA,PSYCHOLOGY,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,PUBLIC FINANCE,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,PUBLIC FINANCE,2025,4,4,0,0.00,0,0.00,4,100.00,0,0.00,0,0
USA,RECOMMENDATIONS,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,RECOMMENDATIONS,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,RESOURCES (GENERAL),2024,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,RESOURCES (GENERAL),2025,9,9,0,0.00,1,11.11,8,88.89,0,0.00,0,0
USA,SETTLEMENT PLANNING,2024,0,0,0,,0,,0,,0,,0,0
USA,SETTLEMENT PLANNING,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,SOCIAL DEVELOPMENT,2024,8,8,2,25.00,1,12.50,5,62.50,0,0.00,0,0
USA,SOCIAL DEVELOPMENT,2025,24,24,1,4.17,0,0.00,23,95.83,0,0.00,0,0
USA,SPACE SCIENCES,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,SPACE SCIENCES,2025,5,5,0,0.00,0,0.00,5,100.00,0,0.00,0,0
USA,SPECIAL CATEGORIES OF WORKERS,2024,0,0,0,,0,,0,,0,,0,0
USA,SPECIAL CATEGORIES OF WORKERS,2025,2,2,0,0.00,0,0.00,2,100.00,0,0.00,0,0
USA,SPECIAL ECONOMIC AREAS,2024,0,0,0,,0,,0,,0,,0,0
USA,SPECIAL ECONOMIC AREAS,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,SPECIAL HUMANITARIAN OPERATIONS,2024,0,0,0,,0,,0,,0,,0,0
USA,SPECIAL HUMANITARIAN OPERATIONS,2025,5,5,1,20.00,1,20.00,3,60.00,0,0.00,0,0
USA,STATISTICS,2024,0,0,0,,0,,0,,0,,0,0
USA,STATISTICS,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TAXATION,2024,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TAXATION,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TELECOMMUNICATIONS,2024,0,0,0,,0,,0,,0,,0,0
USA,TELECOMMUNICATIONS,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TRADE IN COMMODITIES,2024,0,0,0,,0,,0,,0,,0,0
USA,TRADE IN COMMODITIES,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TRADE IN MANUFACTURES; BARRIERS TO TRADE,2024,0,0,0,,0,,0,,0,,0,0
USA,TRADE IN MANUFACTURES; BARRIERS TO TRADE,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,TRADE RELATED FINANCE,2024,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TRADE RELATED FINANCE,2025,1,1,0,0.00,0,0.00,1,100.00,0,0.00,0,0
USA,TRANSPORT POLICY AND PLANNING,2024,0,0,0,,0,,0,,0,,0,0
USA,TRANSPORT POLICY AND PLANNING,2025,3,3,0,0.00,0,0.00,3,100.00,0,0.00,0,0
USA,WATER,2024,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,WATER,2025,2,2,0,0.00,0,0.00,2,100.00,0,0.00,0,0
USA,WELFARE AND SOCIAL SERVICES,2024,2,2,1,50.00,1,50.00,0,0.00,0,0.00,0,0
USA,WELFARE AND SOCIAL SERVICES,2025,14,14,0,0.00,0,0.00,14,100.00,0,0.00,0,0
USA,WILDLIFE,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,WILDLIFE,2025,4,4,0,0.00,1,25.00,3,75.00,0,0.00,0,0
USA,WOMEN'S ADVANCEMENT,2024,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
USA,WOMEN'S ADVANCEMENT,2025,4,4,0,0.00,0,0.00,4,100.00,0,0.00,0,0
CPV,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,2024,0,0,0,,0,,0,,0,,0,0
CPV,AGRICULTURAL ECONOMICS AND POLICY; RURAL SOCIOLOGY,2025,6,6,6,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",2024,0,0,0,,0,,0,,0,,0,0
CPV,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,BANKING AND INVESTMENT,2024,0,0,0,,0,,0,,0,,0,0
CPV,BANKING AND INVESTMENT,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,COMMODITIES,2024,0,0,0,,0,,0,,0,,0,0
CPV,COMMODITIES,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,COMMUNICATION AND MASS MEDIA,2024,0,0,0,,0,,0,,0,,0,0
CPV,COMMUNICATION AND MASS MEDIA,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,COMPREHENSIVE HEALTH SERVICES,2024,0,0,0,,0,,0,,0,,0,0
CPV,COMPREHENSIVE HEALTH SERVICES,2025,3,3,3,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,COMPUTER SCIENCE AND TECHNOLOGY,2024,1,0,0,,0,,0,,1,100.00,0,0
CPV,COMPUTER SCIENCE AND TECHNOLOGY,2025,6,6,6,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,CONSUMERS AND COOPERATIVES,2024,0,0,0,,0,,0,,0,,0,0
CPV,CONSUMERS AND COOPERATIVES,2025,2,2,2,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,CRIME AND CRIMINAL JUSTICE,2024,0,0,0,,0,,0,,0,,0,0
CPV,CRIME AND CRIMINAL JUSTICE,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
CPV,CROP MANAGEMENT,2024,0,0,0,,0,,0,,0,,0,0
CPV,CROP MANAGEMENT,2025,1,1,1,100.00,0,0.00,0,0.00,0,0.00,0,0
