country,topic_l2,status,2024_resolution_count,2025_resolution_count,resolution_count_change,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_country_missing_count,2025_country_missing_count,country_missing_count_change,2024_unknown_vote_count,2025_unknown_vote_count,unknown_vote_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp,abs_yes_pct_change_pp
CPV,DISEASE PREVENTION AND CONTROL,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,DISEASES AND CARRIERS OF DISEASES,NEW_IN_2025,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,BANKING AND INVESTMENT,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMPREHENSIVE HEALTH SERVICES,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CULTURAL DEVELOPMENT,NEW_IN_2025,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,EDUCATIONAL POLICY AND PLANNING,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,PHILOSOPHY AND RELIGION,NEW_IN_2025,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,TRADE IN MANUFACTURES; BARRIERS TO TRADE,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,TRANSPORT POLICY AND PLANNING,NEW_IN_2025,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMMUNICATION AND MASS MEDIA,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CONSUMERS AND COOPERATIVES,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,FOOD AND NUTRITION,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,SPECIAL CATEGORIES OF WORKERS,NEW_IN_2025,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,COMMODITIES,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CRIME AND CRIMINAL JUSTICE,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,CROP MANAGEMENT,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,EMPLOYMENT PROMOTION AND PLANNING,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,FORESTRY,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,GEOGRAPHY,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,HOUSING,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LAND FORMS AND ECOSYSTEMS,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LAND TRANSPORT,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LANGUAGE,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,LAW OF WAR,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,"LEISURE, RECREATION AND SPORTS",NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
CPV,MONETARY ISSUES,NEW_IN_2025,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,100.00,,0,0,0,,0.00,,0,0,0,,0.00,,
