iso3,p3_2025,p3_rank_2025,p1_2025,p2_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,no_pct_2025,abstain_pct_2025,majority_alignment_rate_2025,vote_mix_distance_l1_2025,diff_from_world_avg_2025,region,broad_region
LKA,97.04,84,78.2,99.66,181,1,10,192,94.3,0.5,5.2,94.27,12.48,4.2,Southern Asia,Southern Asia
BHR,97.03,86,79.7,99.55,181,0,11,192,94.3,0.0,5.7,94.27,12.48,4.19,Western Asia,Western Asia
KIR,97.03,85,75.35,96.16,66,0,4,70,94.3,0.0,5.7,94.29,12.51,4.2,Micronesia,Oceania
MNG,97.01,87,87.61,97.97,180,0,11,191,94.2,0.0,5.8,94.24,12.42,4.17,Eastern Asia,Eastern Asia
AGO,96.98,88,81.32,98.67,178,0,11,189,94.2,0.0,5.8,94.18,12.3,4.14,Middle Africa,Sub-Saharan Africa
MOZ,96.93,89,83.59,98.98,175,0,11,186,94.1,0.0,5.9,94.09,12.11,4.09,Eastern Africa,Sub-Saharan Africa
NER,96.91,90,80.77,96.58,161,9,1,171,94.2,5.3,0.6,94.15,12.84,4.08,Western Africa,Sub-Saharan Africa
TJK,96.89,92,76.45,98.97,172,1,10,183,94.0,0.5,5.5,93.99,11.91,4.05,Central Asia,Central Asia
UGA,96.89,91,74.34,98.29,173,0,11,184,94.0,0.0,6.0,94.02,11.98,4.06,Eastern Africa,Sub-Saharan Africa
SLV,96.84,93,89.63,96.18,170,0,11,181,93.9,0.0,6.1,93.92,11.78,4.0,Central America,Latin America & Caribbean
NGA,96.77,94,78.37,97.65,151,0,10,161,93.8,0.0,6.2,93.79,11.51,3.93,Western Africa,Sub-Saharan Africa
KWT,96.76,95,82.91,99.57,180,1,11,192,93.8,0.5,5.7,93.75,11.44,3.92,Western Asia,Western Asia
VCT,96.75,96,72.18,96.07,15,0,1,16,93.8,0.0,6.2,93.75,11.44,3.91,Caribbean,Latin America & Caribbean
TUV,96.71,97,81.05,97.18,133,1,8,142,93.7,0.7,5.6,93.66,11.26,3.88,Polynesia,Oceania
LBY,96.65,98,77.68,99.32,174,1,11,186,93.5,0.5,5.9,93.55,11.03,3.81,Northern Africa,Africa
COD,96.62,99,75.65,96.37,130,0,9,139,93.5,0.0,6.5,93.53,10.99,3.79,Middle Africa,Sub-Saharan Africa
OMN,96.49,100,75.08,98.94,179,2,11,192,93.2,1.0,5.7,93.23,10.39,3.65,Western Asia,Western Asia
YEM,96.48,101,81.52,98.6,179,1,12,192,93.2,0.5,6.2,93.23,10.39,3.64,Western Asia,Western Asia
ARE,96.44,102,83.15,98.91,178,0,13,191,93.2,0.0,6.8,93.19,10.32,3.61,Western Asia,Western Asia
DZA,96.21,103,74.97,98.69,178,2,12,192,92.7,1.0,6.2,92.71,9.35,3.37,Northern Africa,Africa
ECU,96.1,104,79.73,95.3,174,0,14,188,92.6,0.0,7.4,92.55,9.92,3.26,South America,Latin America & Caribbean
BDI,96.01,105,57.65,95.54,157,8,5,170,92.4,4.7,2.9,92.35,8.64,3.17,Eastern Africa,Sub-Saharan Africa
CUB,95.85,106,69.7,95.03,173,7,8,188,92.0,3.7,4.3,92.02,7.98,3.02,Caribbean,Latin America & Caribbean
ZWE,95.7,107,74.26,95.87,167,3,12,182,91.8,1.6,6.6,91.76,7.45,2.87,Eastern Africa,Sub-Saharan Africa
DMA,95.61,108,60.66,94.72,44,0,4,48,91.7,0.0,8.3,91.67,9.92,2.77,Caribbean,Latin America & Caribbean
SDN,95.59,109,65.36,96.97,173,8,8,189,91.5,4.2,4.2,91.53,7.0,2.76,Northern Africa,Africa
SYR,95.49,110,51.92,98.6,85,1,7,93,91.4,1.1,7.5,91.4,7.77,2.66,Western Asia,Western Asia
EGY,95.29,111,78.18,97.97,173,1,16,190,91.1,0.5,8.4,91.05,8.87,2.45,Northern Africa,Africa
