iso3,p2_2025,p2_rank_2025,p1_2025,p3_2025,yes_2025,no_2025,abstain_2025,total_2025,yes_pct_2025,region,broad_region
PNG,94.7,152,59.68,91.42,152,16,13,181,84.0,Melanesia,Oceania
FRA,94.66,153,61.71,85.35,142,28,22,192,74.0,Western Europe,Western Europe
TON,94.51,154,29.4,92.06,148,12,14,174,85.1,Polynesia,Oceania
SLB,94.3,155,83.21,97.34,166,0,9,175,94.9,Melanesia,Oceania
ALB,94.14,156,68.05,84.03,136,20,33,189,72.0,Southern Europe,Southern Europe
MKD,94.08,157,51.33,83.26,133,24,31,188,70.7,Southern Europe,Southern Europe
PAN,94.0,158,75.96,95.0,173,0,18,191,90.6,Central America,Latin America & Caribbean
CAF,93.96,159,53.66,93.31,138,6,14,158,87.3,Middle Africa,Sub-Saharan Africa
CHE,93.4,160,68.45,91.04,160,10,22,192,83.3,Western Europe,Western Europe
WSM,93.34,161,76.48,92.58,121,0,19,140,86.4,Polynesia,Oceania
PLW,93.17,162,50.23,90.18,142,22,9,173,82.1,Micronesia,Oceania
CMR,93.13,163,64.3,93.31,149,0,21,170,87.6,Middle Africa,Sub-Saharan Africa
GBR,93.01,164,63.0,84.93,141,31,20,192,73.4,Northern Europe,Northern Europe
IND,92.76,165,71.78,91.22,161,5,26,192,83.9,Southern Asia,Southern Asia
NIC,92.34,166,70.15,93.56,153,15,6,174,87.9,Central America,Latin America & Caribbean
HUN,92.09,167,66.3,81.47,131,33,28,192,68.2,Eastern Europe,Eastern Europe
PRK,92.01,168,57.69,88.18,142,21,18,181,78.5,Eastern Asia,Eastern Asia
FJI,91.14,169,48.89,88.99,148,9,28,185,80.0,Melanesia,Oceania
ARM,90.91,170,73.8,93.46,158,2,20,180,87.8,Western Asia,Western Asia
JPN,90.47,171,72.71,89.84,156,12,24,192,81.2,Eastern Asia,Eastern Asia
MHL,90.05,172,66.66,90.12,148,10,23,181,81.8,Micronesia,Oceania
NZL,89.72,173,72.03,91.36,161,16,15,192,83.9,Australia and New Zealand,Oceania
SRB,89.59,174,71.39,89.7,139,6,26,171,81.3,Southern Europe,Southern Europe
FSM,89.4,175,60.93,86.35,120,27,11,158,75.9,Micronesia,Oceania
STP,88.91,176,100.0,90.67,10,0,2,12,83.3,Middle Africa,Sub-Saharan Africa
USA,88.41,177,45.21,0.0,10,174,8,192,5.2,Northern America,Northern America
KOR,87.49,178,71.94,87.62,148,19,24,191,77.5,Eastern Asia,Eastern Asia
AUS,87.3,179,66.06,88.63,152,20,20,192,79.2,Australia and New Zealand,Oceania
CYP,86.02,180,71.05,91.08,160,14,18,192,83.3,Western Asia,Western Asia
TUR,85.96,181,69.6,89.33,151,16,21,188,80.3,Western Asia,Western Asia
NRU,84.21,182,63.34,78.76,37,15,4,56,66.1,Micronesia,Oceania
CAN,83.94,183,60.6,87.36,148,23,21,192,77.1,Northern America,Northern America
GEO,80.12,184,65.67,84.14,133,11,39,183,72.7,Western Asia,Western Asia
BLR,78.97,185,61.48,91.02,159,12,20,191,83.2,Eastern Europe,Eastern Europe
MDG,78.3,186,51.27,83.12,8,0,3,11,72.7,Eastern Africa,Sub-Saharan Africa
RUS,77.9,187,59.03,85.25,142,31,19,192,74.0,Eastern Europe,Eastern Europe
SSD,71.84,188,36.62,76.23,36,1,19,56,64.3,Eastern Africa,Sub-Saharan Africa
PRY,69.3,189,46.71,74.2,113,29,49,191,59.2,South America,Latin America & Caribbean
ARG,21.22,190,0.0,32.79,42,84,29,155,27.1,South America,Latin America & Caribbean
ISR,0.0,191,59.54,12.87,20,98,27,145,13.8,Western Asia,Western Asia
