broad_region,iso3,region,p2_2024,p2_2025,p2_change,region_avg_change,contribution_to_region_avg_change,total_2024,total_2025
Oceania,NZL,Australia and New Zealand,79.0,89.72,10.73,9.86,0.77,95,192
Oceania,NRU,Micronesia,73.69,84.21,10.53,9.86,0.75,50,56
Oceania,KIR,Micronesia,86.33,96.16,9.84,9.86,0.7,80,70
Oceania,PNG,Melanesia,85.23,94.7,9.48,9.86,0.68,92,181
Oceania,TUV,Polynesia,87.75,97.18,9.42,9.86,0.67,65,142
Oceania,MHL,Micronesia,83.07,90.05,6.97,9.86,0.5,87,181
Oceania,FJI,Melanesia,84.41,91.14,6.72,9.86,0.48,82,185
Oceania,SLB,Melanesia,87.72,94.3,6.58,9.86,0.47,72,175
Oceania,VUT,Melanesia,89.57,96.12,6.55,9.86,0.47,88,182
Oceania,WSM,Polynesia,94.41,93.34,-1.07,9.86,-0.08,65,140
South-eastern Asia,MMR,South-eastern Asia,91.95,97.34,5.4,2.74,0.49,93,188
South-eastern Asia,PHL,South-eastern Asia,93.89,99.02,5.13,2.74,0.47,95,192
South-eastern Asia,IDN,South-eastern Asia,93.88,98.38,4.5,2.74,0.41,95,192
South-eastern Asia,TLS,South-eastern Asia,95.52,98.34,2.82,2.74,0.26,90,189
South-eastern Asia,VNM,South-eastern Asia,95.54,98.02,2.49,2.74,0.23,92,189
South-eastern Asia,SGP,South-eastern Asia,95.68,98.06,2.37,2.74,0.22,95,192
South-eastern Asia,BRN,South-eastern Asia,96.53,98.7,2.17,2.74,0.2,95,192
South-eastern Asia,THA,South-eastern Asia,97.4,99.03,1.62,2.74,0.15,95,192
South-eastern Asia,KHM,South-eastern Asia,97.36,98.68,1.32,2.74,0.12,92,190
South-eastern Asia,LAO,South-eastern Asia,96.44,97.66,1.21,2.74,0.11,93,187
South-eastern Asia,MYS,South-eastern Asia,98.29,99.35,1.06,2.74,0.1,95,192
Southern Asia,IRN,Southern Asia,81.32,95.45,14.13,5.98,1.77,91,185
Southern Asia,IND,Southern Asia,81.85,92.76,10.92,5.98,1.36,95,192
Southern Asia,PAK,Southern Asia,84.31,94.84,10.54,5.98,1.32,94,190
Southern Asia,LKA,Southern Asia,96.41,99.66,3.24,5.98,0.41,95,192
Southern Asia,NPL,Southern Asia,96.3,99.31,3.0,5.98,0.38,91,190
Southern Asia,BGD,Southern Asia,96.33,99.29,2.97,5.98,0.37,94,191
Southern Asia,BTN,Southern Asia,96.16,98.2,2.04,5.98,0.25,92,184
Southern Asia,MDV,Southern Asia,96.9,97.94,1.04,5.98,0.13,94,192
Southern Europe,SRB,Southern Europe,75.46,89.59,14.14,3.77,1.01,82,171
Southern Europe,HRV,Southern Europe,91.78,97.37,5.59,3.77,0.4,95,192
Southern Europe,MLT,Southern Europe,91.82,96.65,4.83,3.77,0.34,95,192
Southern Europe,BIH,Southern Europe,93.1,97.38,4.28,3.77,0.31,95,191
Southern Europe,ITA,Southern Europe,94.7,98.69,4.0,3.77,0.29,95,192
Southern Europe,ESP,Southern Europe,95.65,99.34,3.69,3.77,0.26,95,192
Southern Europe,SMR,Southern Europe,92.67,96.36,3.69,3.77,0.26,95,192
Southern Europe,GRC,Southern Europe,94.84,98.04,3.19,3.77,0.23,95,192
Southern Europe,ALB,Southern Europe,91.01,94.14,3.13,3.77,0.22,95,189
Southern Europe,AND,Southern Europe,93.47,96.34,2.87,3.77,0.2,93,190
Southern Europe,PRT,Southern Europe,97.38,99.99,2.61,3.77,0.19,94,192
Southern Europe,MNE,Southern Europe,98.21,99.67,1.46,3.77,0.1,95,192
Southern Europe,MKD,Southern Europe,94.43,94.08,-0.35,3.77,-0.03,91,188
Southern Europe,SVN,Southern Europe,99.98,99.65,-0.32,3.77,-0.02,95,192
Sub-Saharan Africa,LBR,Western Africa,79.5,97.59,18.09,3.05,0.38,77,157
Sub-Saharan Africa,MDG,Eastern Africa,95.94,78.3,-17.64,3.05,-0.37,81,11
Sub-Saharan Africa,CMR,Middle Africa,75.97,93.13,17.16,3.05,0.36,85,170
Sub-Saharan Africa,MWI,Eastern Africa,84.55,97.11,12.56,3.05,0.26,78,153
Sub-Saharan Africa,TGO,Western Africa,84.64,95.89,11.25,3.05,0.23,90,190
Sub-Saharan Africa,ZWE,Eastern Africa,86.54,95.87,9.34,3.05,0.19,91,182
Sub-Saharan Africa,CIV,Western Africa,88.38,96.38,7.99,3.05,0.17,91,190
Sub-Saharan Africa,MLI,Western Africa,89.06,96.79,7.73,3.05,0.16,93,180
Sub-Saharan Africa,RWA,Eastern Africa,90.35,97.77,7.43,3.05,0.15,85,168
Sub-Saharan Africa,COM,Eastern Africa,91.98,97.7,5.73,3.05,0.12,71,165
Sub-Saharan Africa,ERI,Eastern Africa,92.1,97.89,5.79,3.05,0.12,95,181
Sub-Saharan Africa,ZMB,Eastern Africa,94.89,99.97,5.08,3.05,0.11,67,160
Sub-Saharan Africa,BDI,Eastern Africa,90.81,95.54,4.73,3.05,0.1,89,170
Sub-Saharan Africa,COD,Middle Africa,92.27,96.37,4.1,3.05,0.09,73,139
Sub-Saharan Africa,CAF,Middle Africa,97.68,93.96,-3.72,3.05,-0.08,69,158
Sub-Saharan Africa,CPV,Western Africa,93.65,97.55,3.9,3.05,0.08,80,184
Sub-Saharan Africa,NER,Western Africa,92.55,96.58,4.03,3.05,0.08,88,171
Sub-Saharan Africa,STP,Middle Africa,92.97,88.91,-4.06,3.05,-0.08,35,12
