Country,Closest_P5,Closest_Sim,Sim_USA,Sim_GBR,Sim_FRA,Sim_RUS,Sim_CHN
SYR,CHN,0.6622,-0.5962,0.4111,0.4549,0.6067,0.6622
TCD,CHN,0.9047,-0.8907,0.5652,0.5913,0.665,0.9047
TGO,CHN,0.878,-0.8651,0.5322,0.5471,0.6414,0.878
THA,CHN,0.9005,-0.8973,0.587,0.613,0.6467,0.9005
TJK,CHN,0.9222,-0.8856,0.5333,0.5598,0.7168,0.9222
TKM,CHN,0.7767,-0.7947,0.3872,0.4168,0.6502,0.7767
TLS,CHN,0.8704,-0.868,0.591,0.6113,0.6005,0.8704
TON,CHN,0.6952,-0.6819,0.4822,0.4911,0.4448,0.6952
TTO,CHN,0.8949,-0.8865,0.587,0.6074,0.6299,0.8949
TUN,CHN,0.8854,-0.8992,0.558,0.584,0.6407,0.8854
TUR,FRA,0.825,-0.6503,0.8083,0.825,0.6119,0.7098
TUV,CHN,0.7138,-0.7133,0.4874,0.5168,0.486,0.7138
TZA,CHN,0.8696,-0.8688,0.4852,0.5182,0.6332,0.8696
UGA,CHN,0.8934,-0.8856,0.5333,0.554,0.6647,0.8934
UKR,FRA,0.8974,-0.507,0.868,0.8974,0.4748,0.5634
URY,CHN,0.869,-0.8664,0.603,0.6287,0.6122,0.869
UZB,CHN,0.8636,-0.8688,0.4852,0.5122,0.675,0.8636
VCT,FRA,0.2574,-0.2284,0.2559,0.2574,0.157,0.2349
VNM,CHN,0.8959,-0.9151,0.5498,0.5758,0.6838,0.8959
VUT,CHN,0.8556,-0.8375,0.5642,0.5847,0.591,0.8556
WSM,CHN,0.703,-0.7506,0.4575,0.4811,0.5115,0.703
YEM,CHN,0.8871,-0.8737,0.557,0.5831,0.68,0.8871
ZAF,CHN,0.8966,-0.8774,0.5749,0.6066,0.6688,0.8966
ZMB,CHN,0.8383,-0.827,0.4914,0.5064,0.5928,0.8383
ZWE,CHN,0.9303,-0.9047,0.5088,0.5353,0.7056,0.9303
