iso3,p1_2024,yes_2024,no_2024,abstain_2024,total_2024,p1_2025,yes_2025,no_2025,abstain_2025,total_2025,p1_change,total_change,yes_pct_2024,yes_pct_2025,yes_pct_change,region,broad_region
BEL,76.95116429900354,58,21,16,95,74.70507229218956,151,21,20,192,-2.25,97,61.1,78.6,17.5,Western Europe,Western Europe
SVK,70.07547019870813,52,23,20,95,67.88212482128992,146,22,23,191,-2.19,96,54.7,76.4,21.7,Eastern Europe,Eastern Europe
ISL,71.48266459074462,58,17,19,94,69.30951803748115,150,18,23,191,-2.17,97,61.7,78.5,16.8,Northern Europe,Northern Europe
ATG,91.97695457616238,85,1,1,87,89.80737239590432,172,0,3,175,-2.17,88,97.7,98.3,0.6,Caribbean,Latin America & Caribbean
KGZ,79.10141483609364,77,0,10,87,76.9422903042979,175,0,9,184,-2.16,97,88.5,95.1,6.6,Central Asia,Central Asia
MWI,80.12588037191871,69,2,7,78,77.98460119086215,150,0,3,153,-2.14,75,88.5,98.0,9.5,Eastern Africa,Sub-Saharan Africa
AGO,83.39735711111453,84,0,8,92,81.32003115138122,178,0,11,189,-2.08,97,91.3,94.2,2.9,Middle Africa,Sub-Saharan Africa
RUS,61.11295326055253,53,33,9,95,59.03201439871789,142,31,19,192,-2.08,97,55.8,74.0,18.2,Eastern Europe,Eastern Europe
AUT,70.92379660490357,61,16,18,95,69.02573876426118,156,16,20,192,-1.9,97,64.2,81.2,17.0,Western Europe,Western Europe
SRB,73.26592485118228,54,5,23,82,71.39428527629745,139,6,26,171,-1.87,89,65.9,81.3,15.4,Southern Europe,Southern Europe
GRC,73.2282538052716,57,19,19,95,71.42868977050446,151,21,20,192,-1.8,97,60.0,78.6,18.6,Southern Europe,Southern Europe
MEX,87.99263574265248,84,0,10,94,86.31413215355582,188,0,4,192,-1.68,98,89.4,97.9,8.5,Central America,Latin America & Caribbean
ITA,70.54378116212482,56,21,18,95,68.89529333729726,148,20,24,192,-1.65,97,58.9,77.1,18.2,Southern Europe,Southern Europe
PAN,77.28851799911189,73,0,21,94,75.95730180398512,173,0,18,191,-1.33,97,77.7,90.6,12.9,Central America,Latin America & Caribbean
SDN,66.65001522295834,75,9,9,93,65.35995608065618,173,8,8,189,-1.29,96,80.6,91.5,10.9,Northern Africa,Africa
JAM,93.1250685560994,87,1,2,90,91.83813796519568,187,0,1,188,-1.29,98,96.7,99.5,2.8,Caribbean,Latin America & Caribbean
JOR,85.47845811732196,87,1,6,94,84.19676288941821,182,1,8,191,-1.28,97,92.6,95.3,2.7,Western Asia,Western Asia
PER,98.72499935171064,92,0,3,95,97.48208702723292,183,0,7,190,-1.24,95,96.8,96.3,-0.5,South America,Latin America & Caribbean
CHL,95.80539678238874,90,0,5,95,94.6182221299968,190,0,2,192,-1.19,97,94.7,99.0,4.3,South America,Latin America & Caribbean
