partner,sim_2024,sim_2025,sim_change,is_key_partner,region,sim_CHN_2024,sim_CHN_2025,sim_CHN_change,sim_RUS_2024,sim_RUS_2025,sim_RUS_change
MNE,0.3752639502927207,-0.5863087459595062,-0.9616,False,Southern Europe,0.1538587989087524,0.6550972316174833,0.5012,0.0245773699910104,0.5348927612439398,0.5103
PRT,0.3700352452256611,-0.5902230474174398,-0.9603,False,Southern Europe,0.1569465742342684,0.6589705465610458,0.502,2.7755575615628914e-17,0.5391326995750129,0.5391
SVN,0.3627551519496301,-0.594119630385877,-0.9569,False,Southern Europe,0.1666803654844817,0.6628269598964196,0.4961,-1.3877787807814457e-17,0.5317919075144507,0.5318
BIH,0.3273614273578213,-0.6275170611761646,-0.9549,False,Southern Europe,0.2064902931678669,0.6804952992456366,0.474,-0.037107802199647,0.5294942183224055,0.5666
AUT,0.2877023618910858,-0.6520559380992668,-0.9398,False,Western Europe,0.141037232333023,0.6589705465610458,0.5179,-0.208907644923589,0.4405815609430213,0.6495
GRC,0.3399522514869683,-0.5789807036571076,-0.9189,False,Southern Europe,0.1548677198759001,0.6416292163883868,0.4868,-1.0408340855860844e-17,0.5275384479712492,0.5275
MKD,0.4298784945872536,-0.4883366894240151,-0.9182,False,Southern Europe,0.1201710316207345,0.568726419377633,0.4486,2.7755575615628914e-17,0.4732838933243734,0.4733
MDA,0.2826325680272091,-0.6351345803595574,-0.9178,False,Eastern Europe,0.1448497364829551,0.6589621455724318,0.5141,-0.2271756866592708,0.4327781397996786,0.66
NZL,0.2317245488671241,-0.6704861722640134,-0.9022,False,Australia and New Zealand,0.2125166035082489,0.6780874461184292,0.4656,-0.1317956116930914,0.4571727142950761,0.589
LIE,0.2014531860663516,-0.6970253131405955,-0.8985,False,Western Europe,0.2064902931678669,0.6994336502972502,0.4929,-0.1608004761984703,0.4695671899524306,0.6304
SMR,0.2099405494764484,-0.6762415239399677,-0.8862,False,Southern Europe,0.2151898734177216,0.6781609195402293,0.463,-0.1455856181453862,0.4553333028853668,0.6009
PLW,0.3211733727581921,-0.5526375588702046,-0.8738,False,Micronesia,0.0526726314483473,0.5564566097267153,0.5038,-0.3281426585078357,0.3324627948197762,0.6606
IRL,0.1988536812099245,-0.6669833586407486,-0.8658,False,Northern Europe,0.2293040144902476,0.6743543852859226,0.4451,-0.1343062298890136,0.4508670520231213,0.5852
AND,0.1876319751463603,-0.6728427686349514,-0.8605,False,Southern Europe,0.2051450652116698,0.6686498561695122,0.4635,-0.1474642199460629,0.4373345123455743,0.5848
MLT,0.1718082427858355,-0.6723882645175097,-0.8442,False,Southern Europe,0.2012618421706511,0.6857254813237407,0.4845,-0.1687849877596442,0.4527387900115061,0.6215
PNG,0.202395294959361,-0.6256466633907738,-0.828,False,Melanesia,0.1708460834038792,0.6199784589368433,0.4491,-0.2690104478770879,0.3812726598880253,0.6503
TUR,0.1636807136789106,-0.6503358634007524,-0.814,True,Western Asia,0.3097354397518002,0.7098269931786381,0.4001,0.2102775457979997,0.6118599856170018,0.4016
