iso3,sim_change_vs_CHN,sim_change_vs_ISR,sim_change_vs_RUS,sim_change_vs_USA,p1_change,region,broad_region
KAZ,0.1742,-0.0925,0.3149,-0.5562,-4.11,Central Asia,Central Asia
YEM,0.1513,-0.0755,0.4257,-0.5559,-10.7,Western Asia,Western Asia
BWA,0.1335,-0.1148,0.3928,-0.5552,-0.83,Southern Africa,Sub-Saharan Africa
MRT,0.125,-0.0766,0.3904,-0.5543,-9.36,Western Africa,Sub-Saharan Africa
TUN,0.1288,-0.0859,0.3366,-0.5539,-4.67,Northern Africa,Africa
GAB,0.1616,-0.089,0.3305,-0.5532,1.79,Middle Africa,Sub-Saharan Africa
FJI,0.3081,-0.0533,0.4376,-0.5512,1.38,Melanesia,Oceania
MYS,0.1471,-0.1043,0.3517,-0.5506,-9.11,South-eastern Asia,South-eastern Asia
LAO,0.1404,-0.0744,0.3258,-0.5483,-10.78,South-eastern Asia,South-eastern Asia
GHA,0.1565,-0.1524,0.3603,-0.5482,-5.99,Western Africa,Sub-Saharan Africa
KEN,0.166,-0.1307,0.3766,-0.5474,-5.2,Eastern Africa,Sub-Saharan Africa
BTN,0.1663,-0.0837,0.331,-0.5417,0.19,Southern Asia,Southern Asia
DJI,0.136,-0.0801,0.3397,-0.5405,0.34,Eastern Africa,Sub-Saharan Africa
SEN,0.1909,-0.0636,0.3457,-0.5368,-8.17,Western Africa,Sub-Saharan Africa
UGA,0.1625,-0.1035,0.3329,-0.5353,-6.36,Eastern Africa,Sub-Saharan Africa
SYC,0.2036,-0.1528,0.3508,-0.5346,-0.94,Eastern Africa,Sub-Saharan Africa
IRQ,0.1017,-0.0605,0.3532,-0.5326,-8.44,Western Asia,Western Asia
LKA,0.1472,-0.0738,0.3484,-0.5326,-3.04,Southern Asia,Southern Asia
COG,0.1735,-0.1139,0.3683,-0.5312,1.58,Middle Africa,Sub-Saharan Africa
AGO,0.1612,-0.0949,0.3605,-0.5303,-2.08,Middle Africa,Sub-Saharan Africa
MAR,0.1394,-0.0851,0.3266,-0.5267,-2.93,Northern Africa,Africa
ARE,0.1364,-0.0475,0.3489,-0.5237,-6.48,Western Asia,Western Asia
GMB,0.1783,-0.0659,0.3596,-0.5228,-5.7,Western Africa,Sub-Saharan Africa
GIN,0.1161,-0.0675,0.2941,-0.5204,-8.61,Western Africa,Sub-Saharan Africa
GNQ,0.134,-0.052,0.2819,-0.5156,1.33,Middle Africa,Sub-Saharan Africa
ETH,0.1002,0.0014,0.3214,-0.5144,-7.92,Eastern Africa,Sub-Saharan Africa
SAU,0.1781,-0.0466,0.406,-0.5101,-2.45,Western Asia,Western Asia
EGY,0.1098,-0.0349,0.342,-0.5071,-12.64,Northern Africa,Africa
LSO,0.1384,-0.0146,0.354,-0.507,-9.69,Southern Africa,Sub-Saharan Africa
IDN,0.1296,-0.0552,0.3419,-0.5057,-9.48,South-eastern Asia,South-eastern Asia
MOZ,0.2202,-0.1041,0.3283,-0.5052,-4.74,Eastern Africa,Sub-Saharan Africa
NAM,0.102,-0.067,0.3136,-0.5026,-0.91,Southern Africa,Sub-Saharan Africa
LBN,0.1015,-0.059,0.2884,-0.498,-0.86,Western Asia,Western Asia
KNA,0.2045,-0.0794,0.353,-0.496,-7.28,Caribbean,Latin America & Caribbean
LBY,0.1278,-0.0263,0.3538,-0.4934,-12.24,Northern Africa,Africa
OMN,0.1209,-0.0144,0.3363,-0.4852,-7.49,Western Asia,Western Asia
TJK,0.1745,-0.0557,0.32,-0.4817,-7.51,Central Asia,Central Asia
KGZ,0.122,-0.0267,0.2849,-0.4789,-2.16,Central Asia,Central Asia
ERI,0.1002,-0.0444,0.2793,-0.4666,-0.02,Eastern Africa,Sub-Saharan Africa
ZWE,0.0802,-0.0309,0.2383,-0.4656,-0.97,Eastern Africa,Sub-Saharan Africa
DZA,0.0954,-0.0512,0.3103,-0.4648,-12.04,Northern Africa,Africa
UZB,0.1022,-0.0519,0.2421,-0.4533,0.23,Central Asia,Central Asia
PRY,0.0993,-0.0696,0.3334,-0.4499,-11.1,South America,Latin America & Caribbean
NGA,0.0685,0.0056,0.2887,-0.4491,-5.53,Western Africa,Sub-Saharan Africa
SLB,0.2464,-0.0651,0.3357,-0.4445,-4.97,Melanesia,Oceania
CAF,0.2148,-0.0148,0.4162,-0.4376,7.57,Middle Africa,Sub-Saharan Africa
BFA,0.1197,-0.0617,0.2894,-0.4368,-3.09,Western Africa,Sub-Saharan Africa
GRD,0.1298,-0.0541,0.4274,-0.4357,-15.03,Caribbean,Latin America & Caribbean
CHN,,0.0244,0.1894,-0.4273,-11.74,Eastern Asia,Eastern Asia
AZE,0.1007,-0.0379,0.2323,-0.4261,-2.36,Western Asia,Western Asia
SWZ,0.1691,-0.0759,0.4569,-0.4145,-19.12,Southern Africa,Sub-Saharan Africa
GNB,0.1981,-0.0653,0.2754,-0.3994,-4.96,Western Africa,Sub-Saharan Africa
SSD,0.1439,-0.2046,0.2071,-0.3925,36.62,Eastern Africa,Sub-Saharan Africa
CUB,0.0532,0.0242,0.2426,-0.385,-12.34,Caribbean,Latin America & Caribbean
